concept;feature
caravan;made of wood
caravan;does shelter
caravan;has a living room
caravan;has a shower
caravan;has a trailer
caravan;has an electric hook up
caravan;has washing facilities
caravan;is a box
caravan;is a temporary home
caravan;is cheap
caravan;is on a caravan site
caravan;is on a driveway
caravan;is slow
caravan;is useful
caravan;made of fibre glass
carnation;is a flower
carnation;has petals
carnation;has a stalk_stem
carnation;is pretty_attractive_beautiful
carnation;has leaves
carnation;does smell_is smelly
carnation;does smell good_nice
carnation;is pink
carnation;is red
carnation;is colourful
carnation;does come in colours
carnation;has frilly petals
carnation;is a plant
carnation;is for weddings
carnation;is white
carnation;does grow
carnation;has a long stem
carnation;has roots
carnation;is in bouquets
carnation;has many petals
carnation;is alive
carnation;is circular_round
carnation;is found in gardens
carnation;is green
carnation;is in a buttonhole
carnation;is worn
carnation;is yellow
carnation;does photosynthesise
carnation;has pollen
carnation;has types
carnation;is decorative
carnation;is popular
carnation;is small
carp;is a fish
carp;has scales
carp;has fins
carp;has a tail
carp;does live in water
carp;does swim
carp;is big_large
carp;has gills
carp;is eaten_edible
carp;is found in freshwater
carp;is caught
carp;does live in rivers
carp;has a mouth
carp;has whiskers
carp;has eyes
carp;is an animal
carp;has a bit hanging down from its chin
carp;is a freshwater fish
carp;is alive
carp;is expensive
carp;does grow
carp;does lay eggs
carp;has a big mouth
carp;is an ornamental fish
carp;is brown
carp;is caught by anglers
carp;is oily
carp;is slimy
carp;is ugly
carp;is used in sport
carp;made of bones
carriage;has wheels
carriage;is pulled by horses
carriage;is pulled
carriage;has a seat_seats
carriage;does carry_transport people
carriage;is transport
carriage;does carry_transport
carriage;is part of a train
carriage;has a door_doors
carriage;has windows
carriage;is old fashioned
carriage;made of wood
carriage;made of metal
carriage;is regal
carriage;does travel
carriage;has four wheels
carriage;is for weddings
carriage;has a roof
carriage;is big_large
carriage;is owned by rich people
carriage;is sat on
carriage;does go on roads
carriage;is comfortable
carriage;is in Cinderella
carriage;is ornate
carriage;is posh
carriage;is pretty_attractive_beautiful
carriage;is romantic
carriage;made of fabric_cloth_material
carriage;made of glass
carrot;is orange
carrot;is a vegetable
carrot;does grow
carrot;is a root vegetable
carrot;does grow underground
carrot;is eaten_edible
carrot;is long
carrot;is used in cooking
carrot;has leaves
carrot;is healthy
carrot;is crunchy
carrot;is eaten raw
carrot;has a stalk_stem
carrot;is conical
carrot;is eaten by rabbits
carrot;is tasty
carrot;has skin_peel
carrot;has vitamins
carrot;is peeled
carrot;is used in cakes
carrot;does help you to see in the dark
carrot;has a green top
carrot;is grown
carrot;is hard
carrot;is thin
carrot;is boiled
carrot;is found in Britain_UK_England
carrot;is eaten by animals
carrot;is eaten in salad
carrot;is found in gardens
carrot;is sold_bought
carrot;is sold_bought in supermarkets_shops
cart;made of wood
cart;has wheels
cart;does carry_transport
cart;does carry_transport goods
cart;is pulled
cart;has horses
cart;is pulled by horses
cart;is old fashioned
cart;is useful
cart;is heavy
cart;does move
cart;has four wheels
cart;is found on farms
cart;made of metal
cart;does roll
cart;has sides
cart;is a vehicle
cart;is big_large
cart;is pulled by animals
cart;is rickety
cart;is slow
cart;is sturdy
cart;is transport
castenets;is a musical instrument
castenets;made of wood
castenets;is Spanish
castenets;does make sound_a noise
castenets;is clapped together
castenets;is percussion
castenets;has a string
castenets;is used in Spanish dancing
castenets;has two halves
castenets;is noisy_loud
castenets;is played with hands
castenets;does fasten
castenets;does make music
castenets;is circular_round
castenets;is concave
castenets;is for children
castenets;is played_does play
castenets;is rhythmic
castenets;is small
castenets;made of plastic
castenets;made of shells
castenets;has a handle_handles
castenets;is annoying
castenets;is decorated
castenets;is decorative
castenets;is entertaining_fun
castenets;is held in the palm
castenets;is painted
castenets;is played with fingers
castenets;is traditional
castenets;made of metal
castle;made of stone
castle;is big_large
castle;has a moat
castle;has a turret
castle;has a drawbridge
castle;is a building
castle;is for a king
castle;has walls
castle;is old
castle;is a fortress
castle;is defended
castle;does protect
castle;has towers
castle;is imposing
castle;does house people
castle;has rooms
castle;made of wood
castle;has a portcullis
castle;is strong
castle;has battlements
castle;is found on hills
castle;has a dungeon
castle;has a gate
castle;has a keep
castle;has arrowslits
castle;has history
castle;has thick walls
castle;has windows
castle;is expensive
castle;is grey
castle;has big rooms
castle;has spiral staircases
castle;is a home
castle;is a tourist attraction
castle;is attacked
castle;is built
castle;is cold
castle;is decrepit
castle;is fancy
castle;is for nobles
castle;is in fairy tales
castle;is medieval
castle;is safe
cat;has fur_hair
cat;has claws
cat;is an animal
cat;is a pet
cat;has a tail
cat;has whiskers
cat;does purr
cat;does eat rodents_mice
cat;has legs
cat;does eat
cat;has four legs
cat;is a mammal
cat;does like milk
cat;does meow
cat;does catch
cat;does hunt
cat;has eyes
cat;has paws
cat;is cute
cat;does eat fish
cat;has ears
cat;has nine lives
cat;does chase
cat;does chase birds
cat;does jump
cat;does lick
cat;does scratch
cat;does sleep
cat;has teeth
cat;is domesticated
cat;is independent
cat;does drink
cat;has kittens
cat;has pointy ears
cat;is black
cat;is friendly
cat;is small
cat;does chase string
cat;does kill
cat;does rub
cat;does sit
cat;has a nose
cat;has a territory
cat;has breeds
cat;has muscles
cat;has skin
cat;is a carnivore_eats meat
cat;is feline
cat;is light
cat;made of bones
catalogue;made of paper
catalogue;has pages
catalogue;is for buying things
catalogue;has a picture_pictures
catalogue;is a list
catalogue;has advertising
catalogue;is a book
catalogue;has prices
catalogue;is for products
catalogue;is glossy
catalogue;has words
catalogue;is found in shops
catalogue;has information
catalogue;is from Argos
catalogue;is heavy
catalogue;is sent in the post
catalogue;has photos
catalogue;is big_large
catalogue;is thick
catalogue;is useful
catalogue;does display
catalogue;does give choice
catalogue;has a cover
catalogue;has descriptions
catalogue;is electronic
catalogue;is for mail order
catalogue;is read
catalogue;does sell
catalogue;is a brochure
catalogue;is coloured
catalogue;is colourful
catalogue;is for browsing
catalogue;is free
catapault;is a weapon
catapault;made of wood
catapault;does throw
catapault;made of elastic
catapault;is ancient_medieval
catapault;is y-shaped
catapault;does fire
catapault;has a stone
catapault;is a siege weapon
catapault;is a toy
catapault;is dangerous
catapault;is for children
catapault;does throw rocks
catapault;does fling over long distances
catapault;has a string
catapault;has an arm
catapault;is old-fashioned
catapault;is a slingshot
catapault;is big_large
catapault;is handheld
catapault;is strong
catapault;made of leather
catapault;does destroy
catapault;has a rubber band
catapault;is a projectile
catapault;is heavy
catapault;is made with a stick
catapault;does damage castles
catapault;does fire missiles
catapault;has a base
catapault;has a handle_handles
catapault;has a spring
catapault;has wheels
catapault;is a tool
catapault;is any size
catapault;is entertaining_fun
catapault;is small
catapault;is used in battle_war
catapault;made of metal
caterpillar;does become a butterfly
caterpillar;does eat
caterpillar;has legs
caterpillar;is an insect
caterpillar;does eat leaves
caterpillar;does crawl
caterpillar;is green
caterpillar;is long
caterpillar;has a cocoon
caterpillar;has fur_hair
caterpillar;is small
caterpillar;is a larva
caterpillar;is eaten_edible
caterpillar;is a butterfly pupae
caterpillar;is eaten by birds
caterpillar;does metamorphose
caterpillar;does wriggle
caterpillar;is hungry
caterpillar;is thin
caterpillar;has a segmented body
caterpillar;has antenna
caterpillar;is a children's story
caterpillar;is alive
caterpillar;is an animal
caterpillar;is camouflaged
caterpillar;is colourful
caterpillar;is creepy
caterpillar;is found in gardens
caterpillar;is found outside
caterpillar;is slow
caterpillar;is soft
caterpillar;is worm like
cauliflower;is a vegetable
cauliflower;is white
cauliflower;has leaves
cauliflower;is eaten with cheese
cauliflower;does grow in ground
cauliflower;does grow
cauliflower;is eaten_edible
cauliflower;has florets
cauliflower;has green leaves
cauliflower;has a stalk_stem
cauliflower;is used in cooking
cauliflower;is found in Britain_UK_England
cauliflower;is boiled
cauliflower;is healthy
cauliflower;is like broccoli
cauliflower;is tasteless_bland
cauliflower;is tasty
cauliflower;does go with roasts
cauliflower;has a heart
cauliflower;has flowers
cauliflower;is fluffy
cauliflower;is related to cabbages
cauliflower;does smell_is smelly
cauliflower;is a brassica
cauliflower;is a plant
cauliflower;is circular_round
cauliflower;is disgusting_taste bad
cauliflower;is pretty_attractive_beautiful
celery;is green
celery;is a vegetable
celery;is long
celery;is crunchy
celery;is stringy
celery;has leaves
celery;is healthy
celery;has a stalk_stem
celery;is eaten_edible
celery;is eaten in salad
celery;is thin
celery;made of water_is watery
celery;is low in calories
celery;is a plant
celery;is in sticks
celery;is bitter
celery;is food
celery;is found in Britain_UK_England
celery;is in bunches
celery;is used for dips
celery;does grow in ground
celery;has calories
celery;has veins
celery;is eaten by dieters
celery;is tasteless_bland
celery;is tasty
celery;is used in cooking
celery;made of cellulose
cello;has strings
cello;made of wood
cello;has a bow
cello;does make music
cello;is a musical instrument
cello;is played_does play
cello;is big_large
cello;is in an orchestra
cello;is played by cellists
cello;has a deep sound
cello;is hollow
cello;has a neck
cello;is like a big violin
cello;does go between legs
cello;does rest on floor
cello;has a spike
cello;has tuning pegs
cello;does make sound_a noise
cello;has a stand
cello;is expensive
cello;is mournful
cello;is plucked
cello;made of metal
cello;has a body
cello;has a bridge
cello;has a resonance chamber
cello;has horse hair
cello;is brown
cello;is noisy_loud
cello;is smaller than a double bass
centipede;has legs
centipede;is an insect
centipede;is long
centipede;is small
centipede;is brown
centipede;has a segmented body
centipede;does crawl
centipede;has a body
centipede;does eat
centipede;has antenna
centipede;is disgusting
centipede;has a hundred legs
centipede;is an animal
centipede;is thin
centipede;has a long body
centipede;is an arthropod
centipede;is black
centipede;is creepy
centipede;is fast
centipede;does live on the ground
centipede;does scuttle_scurry
centipede;does wriggle
centipede;has a head
centipede;has a shell
centipede;has an exoskeleton
centipede;has mandibles
centipede;has venom
centipede;is flexible
centipede;is found in forests_woods
centipede;has a circular head
centipede;has eyes
centipede;has many legs
centipede;has pairs of legs
centipede;has predators
centipede;is a carnivore_eats meat
centipede;is a creepy crawly
centipede;is a predator
centipede;is alive
centipede;is an invertebrate
centipede;is eaten by birds
centipede;is eaten_edible
centipede;is found in Britain_UK_England
centipede;is found in damp places
centipede;is found in dark places
centipede;is found in gardens
centipede;is green
centipede;is similar to a millipede
certificate;made of paper
certificate;is an achievement
certificate;has a signature
certificate;is awarded
certificate;has words
certificate;is proof
certificate;is a document
certificate;has a name
certificate;is important
certificate;does certify
certificate;does record
certificate;has a frame
certificate;is a prize
certificate;is given out at school
certificate;does show a qualification
certificate;has a stamp
certificate;is official
certificate;has a date
certificate;has a seal
certificate;is displayed
certificate;is earned
certificate;is for success
certificate;is hung on walls
certificate;is printed
certificate;is to be proud of
certificate;is used to get a job
certificate;made of cardboard_card
chain;made of metal
chain;has links
chain;is used for jewellery
chain;does attach things
chain;is heavy
chain;is long
chain;is worn by prisoners
chain;is used to secure
chain;does lock
chain;has a lock
chain;is found on bicycles
chain;is strong
chain;is hard
chain;does support weight
chain;is decorative
chain;is shiny
chain;made of daisies
chain;made of paper
chain;made of silver
chain;does rattle
chain;is as strong as weakest link
chain;is big_large
chain;is for chaining bikes
chain;is found on boats_ships
chain;is used for dog leads
chain;is used to fence off areas
chainsaw;is dangerous
chainsaw;does cut
chainsaw;is sharp
chainsaw;made of metal
chainsaw;is noisy_loud
chainsaw;does cut down trees
chainsaw;is a tool
chainsaw;has a blade_blades
chainsaw;has a handle_handles
chainsaw;does chop
chainsaw;has an engine
chainsaw;is electric
chainsaw;made of plastic
chainsaw;has teeth
chainsaw;is featured in a film
chainsaw;does cut_chop wood
chainsaw;has a chain
chainsaw;is heavy
chainsaw;is useful
chainsaw;is a power tool
chainsaw;is big_large
chainsaw;has a moving blade
chainsaw;is a saw
chainsaw;is a weapon
chainsaw;is powered
chainsaw;is used by lumberjacks
chainsaw;does make sound_a noise
chainsaw;does saw
chainsaw;does use fuel_diesel_petrol
chainsaw;has a throttle
chainsaw;has a wire_cord_cable
chainsaw;is an electronic saw
chainsaw;is fast
chainsaw;is found in sheds
chainsaw;is manmade
chainsaw;is strong
chainsaw;is used in forestry
chair;has legs
chair;is sat on
chair;made of wood
chair;has a back
chair;has four legs
chair;made of metal
chair;made of plastic
chair;is furniture
chair;has a seat_seats
chair;is comfortable
chair;is near tables
chair;has a fabric covering
chair;has cushions
chair;has arms
chair;has padding
chair;is for one person
chair;is found in homes_houses
chair;is useful
chair;does break
chair;does come in colours
chair;does rock
chair;does swivel
chair;is hard
chair;is strong
chair;is uncomfortable
champagne;is alcoholic
champagne;has bubbles
champagne;is for special occasions
champagne;is expensive
champagne;is a drink
champagne;made of grapes
champagne;is drunk
champagne;is found in a bottle
champagne;is fizzy
champagne;is a wine
champagne;is yellow
champagne;has a cork
champagne;is popped
champagne;is tasty
champagne;does make you drunk
champagne;is drunk from a glass
champagne;is made in France
champagne;is fermented
champagne;is from champagne
champagne;is served in flutes
champagne;is sparkling
champagne;is clear_transparent
champagne;is exclusive
champagne;is posh
champagne;is for new year
champagne;is for weddings
champagne;is liquid
champagne;is white
champagne;made of fermented grapes
champagne;is pale
champagne;is sold_bought in supermarkets_shops
champagne;is used to make toasts
chandelier;made of glass
chandelier;is expensive
chandelier;does hang
chandelier;does hang from ceilings
chandelier;does provide light
chandelier;is a light
chandelier;made of metal
chandelier;is posh
chandelier;has lights
chandelier;is decorative
chandelier;has candles
chandelier;is big_large
chandelier;is fragile_delicate
chandelier;is pretty_attractive_beautiful
chandelier;is a centrepiece
chandelier;is found in stately homes
chandelier;is shiny
chandelier;is sparkly
chandelier;has small parts
chandelier;is decadent
chandelier;does tinkle
chandelier;has arms
chandelier;has gems
chandelier;is an antique
chandelier;is electric
chandelier;is impressive
chandelier;is luxurious
chandelier;is ornate
chandelier;is pretentious
chandelier;made of gold
cheese;made of milk
cheese;is eaten_edible
cheese;does smell_is smelly
cheese;is yellow
cheese;is food
cheese;is tasty
cheese;has holes
cheese;has varieties
cheese;is fatty_fattening
cheese;does melt
cheese;has a rind
cheese;is eaten with crackers
cheese;has a strong flavour
cheese;has protein
cheese;is blue
cheese;is hard
cheese;is kept in fridge
cheese;is orange
cheese;is soft
cheese;made of salt
cheese;has flavours
cheese;is grated
cheese;is matured
cheese;is mild
cheese;is used for sandwiches
cheese;is used in cooking
cheese;is white
cheese;made of cows milk
cheese;made of goat's milk
cheese;is circular_round
cheese;is eaten raw
cheese;is eaten with wine
cheese;is sliced
cheese;is unhealthy
cheese;made of ewe's milk
cheetah;has spots
cheetah;is fast
cheetah;is a cat
cheetah;does run
cheetah;has fur_hair
cheetah;does run fast
cheetah;is an animal
cheetah;is found in Africa
cheetah;does hunt
cheetah;has a tail
cheetah;is a carnivore_eats meat
cheetah;is a mammal
cheetah;does eat
cheetah;has teeth
cheetah;is a big cat
cheetah;has claws
cheetah;does kill antelope
cheetah;has legs
cheetah;has paws
cheetah;is yellow
cheetah;has four legs
cheetah;is dangerous
cheetah;does live in hot countries
cheetah;has muscles
cheetah;is thin
cheetah;is wild
cheetah;does chase
cheetah;does eat animals
cheetah;does kill
cheetah;does sleep
cheetah;has big teeth
cheetah;has blood
cheetah;has cubs
cheetah;has eyes
cheetah;is brown
cheetah;is endangered
cheetah;is found on safari
cheetah;is pretty_attractive_beautiful
cheetah;is small
cheetah;made of bones
cherry;is a fruit
cherry;is red
cherry;has a stone
cherry;has a stalk_stem
cherry;is small
cherry;does grow
cherry;does grow on trees
cherry;is sweet
cherry;is circular_round
cherry;is eaten_edible
cherry;is tasty
cherry;does come in pairs
cherry;has flesh
cherry;has skin_peel
cherry;is healthy
cherry;is juicy
cherry;is purple
cherry;is shiny
cherry;has red flesh
cherry;has seeds_pips
cherry;is grown
cherry;is in bunches
cherry;is used in cakes
cherry;is used in pies
chest_of_drawers;made of wood
chest_of_drawers;has drawers
chest_of_drawers;does store
chest_of_drawers;is for clothes
chest_of_drawers;is furniture
chest_of_drawers;is heavy
chest_of_drawers;has a handle_handles
chest_of_drawers;is found in bedrooms
chest_of_drawers;is useful
chest_of_drawers;does contain_hold
chest_of_drawers;made of metal
chest_of_drawers;is big_large
chest_of_drawers;is brown
chest_of_drawers;has a surface
chest_of_drawers;has objects on top
chest_of_drawers;has runners
chest_of_drawers;is cuboid
chest_of_drawers;made of plastic
chest_of_drawers;has knobs
chest_of_drawers;has legs
chest_of_drawers;is cumbersome
chest_of_drawers;is found in homes_houses
chest_of_drawers;is strong
chest_of_drawers;is sturdy
chest_of_drawers;is tidy
chestnut;is a nut
chestnut;is brown
chestnut;is eaten_edible
chestnut;does grow on trees
chestnut;is roasted
chestnut;is associated with Christmas
chestnut;has a shell
chestnut;does grow
chestnut;is circular_round
chestnut;is small
chestnut;is sweet
chestnut;is hard
chestnut;is tasty
chestnut;is a tree
chestnut;is roasted on an open fire
chestnut;is found in Britain_UK_England
chestnut;is similar to a conker
chestnut;is food
chestnut;is shiny
chestnut;is used in cooking
chestnut;is white
chestnut;does fall
chestnut;has a green case
chestnut;has skin_peel
chestnut;is a colour
chestnut;is a seed
chestnut;is deciduous
chestnut;is eaten with brussel sprouts
chestnut;is red
chestnut;is ripe in autumn
chestnut;is spherical
chestnut;is used for conker games
chicken;does lay eggs
chicken;is a bird
chicken;has feathers
chicken;has wings
chicken;has a beak
chicken;does not fly
chicken;is eaten_edible
chicken;is found on farms
chicken;does cluck
chicken;is an animal
chicken;does peck
chicken;is meat
chicken;does eat
chicken;does eat corn
chicken;has claws
chicken;is kept in battery farms
chicken;is stupid
chicken;is tasty
chicken;has feet
chicken;has legs
chicken;is eaten by foxes
chicken;does fly
chicken;does produce eggs
chicken;has two legs
chicken;is noisy_loud
chicken;does live in coops
chicken;is food
chicken;is used in cooking
chicken;does breed with roosters
chicken;does breed_mate
chicken;does carry salmonella
chicken;does roost
chicken;does scratch
chicken;has a comb
chicken;has babies called chicks
chicken;has its wings clipped
chicken;has scaly feet
chicken;is a relative of dinosaurs
chicken;is brown
chicken;is domesticated
chicken;is poultry
chicken;is roasted
chicken;is scared
chipmunk;is small
chipmunk;has a tail
chipmunk;is an animal
chipmunk;has fur_hair
chipmunk;has teeth
chipmunk;is a mammal
chipmunk;is brown
chipmunk;does eat
chipmunk;is a rodent
chipmunk;does live in trees
chipmunk;does squeak
chipmunk;is striped
chipmunk;does climb
chipmunk;is a squirrel
chipmunk;is cute
chipmunk;does eat nuts
chipmunk;has big teeth
chipmunk;has eyes
chipmunk;is a cartoon character
chipmunk;does climb trees
chipmunk;has legs
chipmunk;has paws
chipmunk;has sharp teeth
chipmunk;is a pet
chipmunk;is featured in a film
chipmunk;does run
chipmunk;has a bushy tail
chipmunk;has cheeks
chipmunk;has claws
chipmunk;has four legs
chipmunk;is found in America
chipmunk;is white
chipmunk;does crawl
chipmunk;does eat insects
chipmunk;does eat seeds
chipmunk;does gnaw
chipmunk;does store food in cheeks
chipmunk;has a nose
chipmunk;is brown and white
chipmunk;is fast
chipmunk;is found in forests_woods
chipmunk;is wild
chisel;made of metal
chisel;is sharp
chisel;has a handle_handles
chisel;is a tool
chisel;made of wood
chisel;is useful
chisel;has a blade_blades
chisel;is used for shaping
chisel;is used on wood
chisel;does chip
chisel;does make statues
chisel;is hit with a hammer
chisel;is small
chisel;is used by artists
chisel;is used by workmen
chisel;does cut
chisel;made of wood and metal
chisel;does scrape
chisel;has a point
chisel;has edges
chisel;is hit
chisel;is used to shape stone
chisel;does make smooth
chisel;has a wooden handle
chisel;is flat
chisel;is found in tool box
chisel;is hard
chisel;is held
chisel;is rough
chisel;is strong
chocolate;made of cocoa
chocolate;is tasty
chocolate;is brown
chocolate;is sweet
chocolate;has sugar
chocolate;made of milk
chocolate;is white
chocolate;is dark
chocolate;does melt
chocolate;is unhealthy
chocolate;is fatty_fattening
chocolate;is food
chocolate;is milk
chocolate;is eaten_edible
chocolate;has pieces
chocolate;does come in bars
chocolate;has flavours
chocolate;is a treat
chocolate;is eaten as dessert
chocolate;made of butter
chocolate;has nuts
chocolate;has wrapping
chocolate;is a gift
chocolate;is a hot drink
chocolate;is a sweet
chocolate;is addictive
chocolate;is egg-shaped at Easter
chocolate;is popular
chocolate;is rich
chocolate;does come in shapes
chocolate;does melt in the mouth
chocolate;is bad for teeth
chocolate;is broken
chocolate;is chewy
chocolate;is comforting
chocolate;is hard
chocolate;is made by Cadburys
chocolate;is mass produced
chocolate;is rectangular_square
chocolate;is smooth
chocolate;is sold_bought in supermarkets_shops
chocolate;is used in cakes
chocolate;made of cocoa butter
cider;made of apples
cider;is alcoholic
cider;is a drink
cider;is fizzy
cider;is sweet
cider;is yellow
cider;made of pears
cider;is fermented
cider;is drunk
cider;has bubbles
cider;is drunk from a glass
cider;is drunk in pints
cider;is found in pubs
cider;is from Somerset
cider;made of fermented apples
cider;is an alcoholic drink
cider;is brown
cider;is found in a bottle
cider;is liquid
cider;is tasty
cider;does make you drunk
cider;is clear_transparent
cider;is cold
cider;is made by Bulmers
cider;is made with water
cider;is sold_bought
cider;is sold_bought in supermarkets_shops
cider;made of fruit
cider;does come in cans_tins
cider;has low alcohol content
cider;is associated with summer
cider;is cloudy
cider;is disgusting_taste bad
cider;is drunk by the half pint
cider;is made in France
cider;is made in the country
cider;is nice
cider;is refreshing
cider;is strong
cigar;is smoked
cigar;has tobacco
cigar;is brown
cigar;is Cuban
cigar;does smell_is smelly
cigar;is unhealthy
cigar;is expensive
cigar;is for men
cigar;is like a cigarette
cigar;made of paper
cigar;does burn
cigar;does produce smoke
cigar;is cylindrical
cigar;is fat
cigar;is lit
cigar;is long
cigar;is rolled
cigar;is a status symbol
cigar;is big_large
cigar;has nicotine
cigar;is carcinogenic
cigar;is old fashioned
cigar;is smoked by old men
cigar;is thin
cigar;does kill
cigar;does smell good_nice
cigar;is as thick as a thumb
cigar;is dangerous
cigar;is not inhaled
cigar;is small
cigar;is stored in boxes
cigarette;has tobacco
cigarette;made of paper
cigarette;is unhealthy
cigarette;is smoked
cigarette;has a filter
cigarette;is carcinogenic
cigarette;does smell_is smelly
cigarette;is lit
cigarette;is white
cigarette;has nicotine
cigarette;is in packets
cigarette;is thin
cigarette;does produce smoke
cigarette;is cylindrical
cigarette;is long
cigarette;is orange
cigarette;is addictive
cigarette;is bad for lungs
cigarette;is rolled
cigarette;made of chemicals
cigarette;does kill
cigarette;has an end
cigarette;is small
cigarette;does burn
cigarette;is not allowed in public buildings
cigarette;does turn teeth yellow
cigarette;has a butt
cigarette;has brands
cigarette;has tar
cigarette;is a cancer stick
cigarette;is a mild stimulant
cigarette;is a stimulant
cigarette;is brown
cigarette;is dangerous
cigarette;is entertaining_fun
cigarette;is expensive
cigarette;is put in mouth
cigarette;is relaxing
cigarette;is taxed
clam;has a shell
clam;is eaten_edible
clam;is found in seas
clam;is an animal
clam;does live in water
clam;is a mollusc
clam;is a shellfish
clam;is a sea animal
clam;is small
clam;does close
clam;is like a mussel
clam;is seafood
clam;has a hard shell
clam;is a bivalve
clam;is food
clam;is soft
clam;is tasty
clam;does open
clam;has a filter
clam;has a hinge_hinges
clam;has flesh
clam;has muscles
clam;is alive
clam;is disgusting_taste bad
clam;is expensive
clam;is found on beaches
clam;is slimy
clam;does cling to rocks
clam;does eat
clam;does filter feed
clam;does go in chowder
clam;does nothing
clam;has a big shell
clam;has calcium
clam;has ridges
clam;has two halves
clam;is big_large
clam;is fished
clam;is for soup
clam;is hard
clam;is patterned
clam;is slippery
clamp;made of metal
clamp;does hold things in place
clamp;is used on car wheels
clamp;does hold things together
clamp;is found in_on cars
clamp;is tight
clamp;is used to hold
clamp;has a screw
clamp;is a tool
clamp;does prevent movement
clamp;has a handle_handles
clamp;is hard
clamp;is heavy
clamp;is put on illegally parked cars
clamp;is strong
clamp;is used by carpenters
clamp;is yellow
clamp;does clamping
clamp;does open
clamp;is useful
clamp;does break things
clamp;does grip
clamp;does prevent separation
clamp;has a vice
clamp;has jaws
clamp;has two parts
clamp;is bad
clamp;is expensive to remove
clamp;is frustrating for drivers
clamp;is small
clamp;is used in surgery
clamp;is used on a worktop
clamp;is used to secure
clamp;made of plastic
clamp;made of wood
clarinet;has a reed
clarinet;made of metal
clarinet;is a musical instrument
clarinet;made of wood
clarinet;is a woodwind instrument
clarinet;is played_does play
clarinet;has keys
clarinet;does make sound_a noise
clarinet;is black
clarinet;is long
clarinet;has holes
clarinet;is blown
clarinet;is in an orchestra
clarinet;does make music
clarinet;is thin
clarinet;does sound nice
clarinet;has a mouthpiece
clarinet;is a wind instrument
clarinet;made of plastic
clarinet;is tube shaped
clarinet;is noisy_loud
clarinet;does play notes
clarinet;is classical
clarinet;is handheld
clarinet;is hard to play
clarinet;is played by musicians
clarinet;is played with fingers
clarinet;is silver
cloak;is worn
cloak;made of fabric_cloth_material
cloak;is clothing
cloak;is long
cloak;is warm
cloak;has a hood
cloak;is worn by wizards
cloak;is old fashioned
cloak;does cover
cloak;is black
cloak;does wrap around
cloak;does protect from weather
cloak;is worn around the neck
cloak;is worn over clothes
cloak;made of cotton
cloak;has a clasp
cloak;has no sleeves
cloak;is a piece of cloth
cloak;is used by witches
cloak;does protect
cloak;is associated with vampires
cloak;is big_large
cloak;is dark
cloak;is evil
cloak;made of polyester
cloak;made of wool
cloak;does float
cloak;is billowing
cloak;is furry
cloak;is heavy
cloak;is in Harry Potter
cloak;is invisible
cloak;is like a coat
cloak;is like a shawl
cloak;is useful
cloak;is wide
cloak;is worn by men and women
cloak;is worn on the back
cloak;is worn on the shoulder
cloak;made of leather
cloak;made of silk
clock;does tell the time
clock;has hands
clock;has a face
clock;has numbers
clock;does tick
clock;made of metal
clock;made of plastic
clock;is circular_round
clock;is digital
clock;made of wood
clock;has a battery
clock;is useful
clock;has a minute hand
clock;has an hour hand
clock;has a second hand
clock;has cogs
clock;is 12 hour
clock;is 24 hour
clock;is clockwork
clock;is used as an alarm
clock;is an instrument
clock;is any size
clock;is hung on walls
clock;made of glass
clock;does change
clock;does help people meet
clock;does measure minutes and hours
clock;does organise your day
clock;has a mechanism
clock;is analogue
clock;is big_large
clock;is modern
clock;is worn on the wrist
clock;made of parts
club;made of wood
club;is heavy
club;is a weapon
club;is dangerous
club;made of metal
club;does hurt
club;has a handle_handles
club;is hard
club;does hit
club;does damage
club;does hit people
club;does hurt people
club;does kill
club;is blunt
club;is used by cavemen
club;is big_large
club;is long
club;is smooth
club;is violent
club;is a stick
club;is associated with trolls
club;is old fashioned
club;is scary
club;is spiky
club;is thick
club;has a bulbous end
club;is handheld
club;is solid
club;is strong
club;is used in battle_war
club;made of plastic
coach_(vehicle);has wheels
coach_(vehicle);is big_large
coach_(vehicle);does carry_transport
coach_(vehicle);has a seat_seats
coach_(vehicle);has a luggage area
coach_(vehicle);does carry_transport people
coach_(vehicle);does drive_is driven
coach_(vehicle);made of metal
coach_(vehicle);does carry lots of people
coach_(vehicle);has an engine
coach_(vehicle);has windows
coach_(vehicle);is long
coach_(vehicle);is a bus
coach_(vehicle);is a vehicle
coach_(vehicle);has a toilet_toilets
coach_(vehicle);is used for school trips
coach_(vehicle);made of rubber
coach_(vehicle);does travel long distances
coach_(vehicle);does go on roads
coach_(vehicle);has a door_doors
coach_(vehicle);has passengers
coach_(vehicle);has seatbelts
coach_(vehicle);is for holidays
coach_(vehicle);is pulled by horses
coach_(vehicle);is transport
coach_(vehicle);is used for trips
coach_(vehicle);made of fabric_cloth_material
coach_(vehicle);made of glass
coach_(vehicle);made of plastic
coach_(vehicle);does travel
coach_(vehicle);does use fuel_diesel_petrol
coach_(vehicle);has air conditioning
coach_(vehicle);has storage space
coach_(vehicle);is a large vehicle
coach_(vehicle);is comfortable
coach_(vehicle);is hard to drive
coach_(vehicle);is heavy
coach_(vehicle);is slow
coach_(vehicle);has a steering wheel
coach_(vehicle);has a windscreen
coach_(vehicle);has an aisle
coach_(vehicle);has big wheels
coach_(vehicle);has four wheels
coach_(vehicle);has six wheels
coach_(vehicle);is environmentally friendly
coach_(vehicle);is national express
